partition,book_name
"Produced by David Widger [Illustration: Book Spines] HISTORY OF EGYPT CHALDEA, SYRIA, BABYLONIA, AND ASSYRIA IN THE LIGHT OF RECENT DISCOVERY BY L. W. KING and H. R. HALL Department of Egyptian and Assyrian Antiquities, British Museum Containing over 1200 colored plates and illustrations. Copyright 1906 [Illustration: Frontispiece1] [Illustration: Frontispiece1-text] [Illustration: Titlepage1] [Illustration: Versa1] PUBLISHERS’ NOTE It should be noted that many of the monuments and sites of excavations in Egypt, Mesopotamia, Persia, and Kurdistan described in this volume have been visited by the authors in connection with their own work in those countries. The greater number of the photographs here published were taken by the authors themselves. Their thanks are due to M. Ernest Leroux, of Paris, for his kind permission to reproduce a certain number of plates from the works of M. de Morgan, illustrating his recent discoveries in Egypt and Persia, and to Messrs. W. A. Mansell & Co., of London, for kindly allowing them to make use of a number of photographs issued by them. PREFACE The present volume contains an account of the most important additions which have been made to our knowledge of the ancient history of Egypt and Western Asia during the few years which have elapsed since the publication of Prof. Maspero’s _Histoire Ancienne des Peuples de l’Orient Classique_, and includes short descriptions of the excavations from which these results have been obtained. It is in no sense a connected and continuous history of these countries, for that has already been written",History
"name in the closing words of his text when he curses him and his goddess for the destruction and sacrilege that they have wrought. “As for Lugalzaggisi,” he says, “patesi of Gishkhu, may his goddess Nidaba bear on her head (the weight of ) this transgression!” Now the name of Lugalzaggisi has been found upon a number of fragments of vases made of white calcite stalagmite which were discovered by Mr. Haynes during his excavations at Nippur. All the vases were engraved with the same inscription, so that it was possible by piecing the fragments of text together to obtain a more or less complete copy of the records which were originally engraved upon each of them. From these records we learned for the first time, not only the name of Lugalzaggisi, but the fact that he founded a powerful coalition of cities in Babylonia at what was obviously a very early period in the history of the country. In the text he describes himself as “King of Erech, king of the world, the priest of Ana, the hero of Nidaba, the son of Ukush, patesi of Gishkhu, the hero of Nidaba, the man who was favourably regarded by the sure eye of the King of the Lands (i.e. the god Enlil), the great patesi of Enlil, unto whom understanding was granted by Enki, the chosen of the Sun-god, the exalted minister of Enzu, endowed with strength by the Sun-god, the worshipper of Ninni, the son who was conceived by",History
"decorated with dragons shooting out their tongues, and the bolt of the great door was fashioned like a raging hound. After this description of the construction and adornment of the temple the text goes on to narrate how Gudea arranged for its material endowment. He stalled oxen and sheep, for sacrifice and feasting, in the outhouses and pens within the temple precincts, and he heaped up grain in its granaries. Its storehouses he filled with spices so that they were like the Tigris when its waters are in flood, and in its treasure-chambers he piled up precious stones, and silver, and lead in abundance. Within the temple precincts he planted a sacred garden which was like a mountain covered with vines; and on the terrace he built a great reservoir, or tank, lined with lead, in addition to the great stone reservoir within the temple itself. He constructed a special dwelling-place for the sacred doves, and among the flowers of the temple garden and under the shade of the great trees the birds of heaven flew about unmolested. The first of the two great cylinders of Gudea ends at this point in the description of the temple, and it is evident that its text was composed while the work of building was still in progress. Moreover, the writing of the cylinder was finished before the actual work of building the temple was completed, for the last column of the text concludes with a prayer to Ningirsu to make it glorious",History
"not already possess complete specimens of this class of tombs. A fine one, belonging to the chief Uerarina, is now exhibited in the Assyrian Basement of the British Museum; another is in the Museum of Leyden; a third at Berlin, and so on. Most of these are simple tombs of one chamber. In the centre of the rear wall we always see the _stele_ or gravestone proper, built into the fabric of the tomb. Before this stood the low table of offerings with a bowl for oblations, and on either side a tall incense-altar. From the altar the divine smoke (_senetr_) arose when the _hen-ka_, or priest of the ghost (literally, “Ghost’s Servant”), performed his duty of venerating the spirits of the deceased, while the _Kher-heb_, or cantor, enveloped in the mystic folds of the leopard-skin and with bronze incense-burner in hand, sang the holy litanies and spells which should propitiate the ghost and enable him to win his way to ultimate perfection in the next world. The stele is always in the form of a door with pyloni-form cornice. On either side is a figure of the deceased, and at the sides are carved prayers to Anubis, and at a later date to Osiris, who are implored to give the funerary meats and “everything good and pure on which the god there (as the dead man in the tomb has been constituted) lives;” often we find that the biography and list of honorary titles and dignities of the deceased",History
"the preservative salts it contains, not to intentional embalming, which was evidently introduced by those who employed the extended position in burial. The contracted position is found as late as the Vth Dynasty at Dashasha, south of the Eayyûm, but after that date it is no longer found. The conclusion is obvious that the contracted position without mummification, which the Neolithic people used, was supplanted in the early dynastic period by the extended position with mummification, and by the time of the VIth Dynasty it was entirely superseded. This points to the supersession of the burial customs of the indigenous Neolithic race by those of another race which conquered and dominated the indigenes. And, since the extended burials of the IVth Dynasty are evidently those of the higher nobles, while the contracted ones are those of inferior people, it is probable that the customs of extended burial and embalming were introduced by a foreign race which founded the Egyptian monarchical state, with its hierarchy of nobles and officials, and in fact started Egyptian civilization on its way. The conquerors of the North were thus not the descendants of the Neolithic people of the South, but their conquerors; in fact, they dominated the indigenes both of North and South, who will then appear (since we find the custom of contracted burial in the North at Dashasha and Mêdûm) to have originally belonged to the same race. The conquering race is that which is supposed to have been of Semitic or proto-Semitic",History
"characters, many of which under the Sumerians still retained resemblances to the pictures of objects from which they were descended, were considerably changed. The lines, of which they were originally composed, gave way to wedges, and the number of the wedges of which each sign consisted was gradually diminished, so that in the time of the Assyrians and the later Babylonians many of the characters bore small resemblance to the ancient Sumerian forms from which they had been derived. The reading of Sumerian and early Babylonian inscriptions by the late Assyrian scribes was therefore an accomplishment only to be acquired as the result of long study, and it is interesting to note that as an assistance to the reading of these early texts the scribes compiled lists of archaic signs. Sometimes opposite each archaic character they drew a picture of the object from which they imagined it was derived. This fact is significant as proving that the Assyrian scribes recognized the pictorial origin of cuneiform writing, but the pictures they drew opposite the signs are rather fanciful, and it cannot be said that their guesses were very successful. That we are able to criticize the theories of the Assyrians as to the origin and forms of the early characters is in the main due to M. de Sarzec’s labours, from whose excavations many thousands of inscriptions of the Sumerians have been recovered. The main results of M. de Sarzec’s diggings at Telloh have already been described by M. Maspero in",History
"the basis of Eratosthenes’ calculations of the measurement of the earth. Important finds of documents written in Aramaic have also been made here; they show that there was on the island in Ptolemaic times a regular colony of Syrian merchants. South of Aswan and Philse begins Nubia. The Nubian language, which is quite different from Arabic, is spoken by everybody on the island of Elephantine, and its various dialects are used as far south as Dongola, where Arabic again is generally spoken till we reach the land of the negroes, south of Khartum. In Ptolemaic and Roman days the Nubians were a powerful people, and the whole of Nubia and the modern North Sudan formed an independent kingdom, ruled by queens who bore the title or name of Candace. It was the eunuch of a Candace who was converted to Christianity as he was returning from a mission to Jerusalem to salute Jehovah. “Go and join thyself unto his chariot” was the command to Philip, and when the Ethiopian had heard the gospel from his lips he went on his way rejoicing. The capital of this Candace was at Meroë, the modern Bagarawiya, near Shendi. Here, and at Naga not far off, are the remains of the temples of the Can-daces, great buildings of semi-barbaric Egyptian style. For the civilization of the Nubians, such as it was, was of Egyptian origin. Ever since Egyptian rule had been extended southwards to Jebel Barkal, beyond Dongola, in the time of Amenhetep II,",History
"the Nile in the vicinity of Koptos and Kus, opposite Ballas and Tûkh. The supposition seems a very probable one, and it may well be that the earliest Egyptians entered the valley of the Nile by the route suggested and then spread northwards and southwards in the valley. The fact that their remains are not found north of el-Kawâmil nor south of el-Kab might perhaps be explained by the supposition that, when they had extended thus far north and south from their original place of arrival, they passed from the primitive Neolithic condition to the more highly developed copper-using culture of the period which immediately preceded the establishment of the monarchy. The Neolithic weapons of the Fayyûm and Hel-wân would then be the remains of a different people, which inhabited the Delta and Middle Egypt in very early times. This people may have been of Mediterranean stock, akin to the primitive inhabitants of Palestine, Greece, Italy, and Spain; and they no doubt were identical with the inhabitants of Lower Egypt who were overthrown and conquered by Kha-sekhem and the other Southern founders of the monarchy (who belonged to the race which had come from the Red Sea by the Wadi Hammamat), and so were the ancestors of the later natives of Lower Egypt. Whether the Southerners, whose primitive remains we find from el-Kawâmil to el-Kab, were of the same race as the Northerners whom they conquered, cannot be decided. The skull-form of the Southerners agrees with that of the Mediterranean",History
"usually they are built on the top of the wall-stumps of earlier buildings of different plan, filled in with a confused mass of earlier slabs and weak rubbish of all kinds. Had the Egyptian buildings been built on sure foundations, they would have been preserved to a much greater extent even than they are. In such a climate as that of Egypt a stone building well built should last for ever. M. Legrain has for the last five years been busy repairing the damage. All the fallen columns are now restored to the perpendicular, and the capitals and architraves are in process of being hoisted into their original positions. The process by which M. Legrain carries out this work has been already described. He works in the old Egyptian fashion, building great inclines or ramps of earth up which the pillar-drums, the capitals, and the architrave-blocks are hauled by manual labour, and then swung into position. This is the way in which the Egyptians built Karnak, and in this way, too, M. Le-grain is rebuilding it. It is a slow process, but a sure one, and now it will not be long before we shall see the hall, except its roof, in much the same condition as it was when Seti built it. Lovers of the picturesque will, however, miss the famous leaning column, hanging poised across the hall, which has been a main feature in so many pictures and photographs of Karnak. This fell in the catastrophe of 1899,",History
"seek. The countenances of the Kheta on the Egyptian monuments of Ramses II’s time have an angular cast, and so have those of the Tanis sphinxes, of Queen Nefret, of the Bubastis statues, and the statues of Usertsen (Senusret) III and Amenemhat III. We might then suppose, with Messrs. Newberry and Garstang, that Nefret was a Kheta princess, who gave her peculiar racial traits to her son Usertsen (Senusret) III and his son Amenem-hat, were it not far more probable that the resemblance between this peculiar XIIth Dynasty type and the Kheta face is purely fortuitous. There is really no reason to suppose that the type of face presented by Nefret, Usertsen, and Amenemhat is not purely Egyptian. It may be seen in many a modern fellah, and the truth probably is that the sculptors have in the case of these rulers very faithfully and carefully depicted their portraits, and that their faces happen to have been of a rather hard and forbidding type. But, if we grant the contention of Messrs. Newberry and Garstang for the moment, where is the connection between these XIIth Dynasty kings and the Hyksos? All the Tanite monuments with this peculiar facial type which would be considered Hyksos are certainly of the XIIth Dynasty. The only statue of a Hyksos king, which was undoubtedly originally made for him and is not one of the XIIth Dynasty usurped, is the small one of Khian at Cairo, discovered by M. Naville at Bubastis, and this has",History
